Feature,Importance
hemo,0.29874017814215204
sc,0.2308046013370905
sg,0.1671112423263799
al,0.13097378654007347
dm,0.06264940698090705
htn,0.03544035245916686
bp,0.023431576625875597
age,0.02168646333575879
appet,0.017777975563162258
pc,0.010557657241984401
cad,0.0008267594474491022
